SSDSE-E-2022v2,prefecture,A1101,A1102,A1301,A1302,A1303,A1700,A4101,A4103,A4200,A5101,A5102,A710101,A710201,A810105,A9101,A9201,B1101,B1103,B2101,C1111,C1211,C121101,C2108,C210836,C210837,C210839,C210841,C210847,C210848,C210850,C2208,C220836,C220837,C220839,C220841,C220847,C220848,C220850,C310201,C310202,C3107,C3801,C3802,E1101,E1501,E2101,E2501,E3101,E3501,E4101,E4501,E6101,E6102,E6301,E6302,G1201,G1401,G1501,G3102,G3201,G5101v2,G5104v2,G5105,G7101,G7102,H1100,H110202,H1310,H1401,H2130,H5507,H550701,H5609,H5610,H5614,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J2503,J2506,L3221,L322101,L322102,L322109
,年度,2020,2020,2020,2020,2020,2020,2020,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2017,2017,2017,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2019,2019,2020,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2018,2018,2018,2018,2016,2018,2020,2020,2020,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2016,2016,2016,2019,2019,2019,2018,2018,2018,2019,2019,2020,2020,2020,2020
地域コード,都道府県,総人口,日本人人口,15歳未満人口,15～64歳人口,65歳以上人口,外国人人口,出生数,合計特殊出生率,死亡数,転入者数（日本人移動者）,転出者数（日本人移動者）,一般世帯数,一般世帯人員数,単独世帯数,婚姻件数,離婚件数,総面積（北方地域及び竹島を除く）,可住地面積,自然公園面積,県内総生産額（平成23年基準）,県民所得（平成23年基準）,1人当たり県民所得（平成23年基準）,事業所数（民営）,事業所数（民営）（建設業）,事業所数（民営）（製造業）,事業所数（民営）（情報通信業）,事業所数（民営）（卸売業，小売業）,事業所数（民営）（宿泊業，飲食サービス業）,事業所数（民営）（生活関連サービス業，娯楽業）,事業所数（民営）（医療，福祉）,従業者数（民営）,従業者数（民営）（建設業）,従業者数（民営）（製造業）,従業者数（民営）（情報通信業）,従業者数（民営）（卸売業，小売業）,従業者数（民営）（宿泊業，飲食サービス業）,従業者数（民営）（生活関連サービス業，娯楽業）,従業者数（民営）（医療，福祉）,農家数（販売農家）,農家数（自給的農家）,耕地面積,旅館営業施設数（ホテルを含む）,旅館営業施設客室数（ホテルを含む）,幼稚園数,幼稚園在園者数,小学校数,小学校児童数,中学校数,中学校生徒数,高等学校数,高等学校生徒数,短期大学数,大学数,短期大学学生数,大学学生数,公民館数,図書館数,博物館数,社会体育施設数,民間体育施設数,映画館数,劇場，音楽堂等数,一般旅券発行件数,延べ宿泊者数,外国人延べ宿泊者数,総住宅数,空き家数,持ち家数,一戸建住宅数,1住宅当たり延べ面積,総人口（非水洗化人口＋水洗化人口）,非水洗化人口,ごみ総排出量（総量）,1人1日当たりの排出量,ごみのリサイクル率,小売店数,飲食店数,大型小売店数,一般病院数,一般診療所数,歯科診療所数,医師数,歯科医師数,薬剤師数,保育所等数（詳細票）,保育所等在所児数（詳細票）,消費支出（二人以上の世帯）,食料費（二人以上の世帯）,住居費（二人以上の世帯）,教養娯楽費（二人以上の世帯）
R00000,全国,126146099,121541155,14955692,72922764,35335805,2402460,840835,1.36,1372755,2247492,2247492,55704949,123162995,21151042,525507,193253,37297315,12295754,5600546,561523371,418620499,3304,5340783,492734,454800,63574,1355060,696396,470713,429173,56872826,3690740,8864253,1642042,11843869,5362088,2420557,7374844,1027892,719187,4372000,51004,1707078,9698,1078496,19525,6300693,10142,3211219,4874,3092064,323,795,104871,2623572,13632,3360,1286,46981,16397,562,1827,1234928,266629160,15892610,62407400,8488600,32801500,28758600,93.04,127156017,5816356,42736787,918,19.6,982368,588323,17630,7246,102616,68500,327210,104908,311289,28737,2586393,277926,76440,17365,24285
R01000,北海道,5224614,5151366,555804,2945727,1664023,34321,29523,1.24,65078,48494,50418,2469063,5032739,999825,20904,9070,7842138,2269923,879833,19430141,14269552,2682,224718,21361,10818,2206,56213,32259,20386,18506,2165925,182143,195081,37312,472228,211758,101190,323580,32232,5362,1143000,2863,115751,385,41743,999,236396,586,123129,276,119773,15,37,4463,79409,381,152,64,3935,726,21,73,30570,17555910,1798840,2807200,379800,1359400,1255600,91.23,5265863,310904,1850519,960,23.2,40615,26585,823,484,3397,2884,13425,4419,11582,1020,76397,301683,77680,27305,26539
R02000,青森県,1237984,1224334,129112,676167,412943,5409,6837,1.38,17905,16413,21145,509649,1191534,168917,4032,1915,964564,325319,114187,4443200,3183283,2490,58116,5750,3002,366,15799,8052,6494,4899,498988,50820,60824,5240,112419,41516,24501,74147,28062,8403,149800,630,19987,87,4632,269,55717,159,30206,77,32155,5,10,1018,15400,246,35,5,703,272,7,21,4580,2541590,73820,592400,88700,352800,377200,121.58,1278713,142698,469430,1003,14.3,12079,6744,185,77,877,520,2712,740,2306,480,33675,251881,75325,18537,18924
R03000,岩手県,1210534,1194745,132447,658816,404359,6937,6718,1.35,17204,15663,19530,490828,1174106,163290,3918,1679,1527501,375137,72061,4651238,3477889,2772,58415,5677,3884,432,15404,7095,6016,4772,525264,50849,90657,5762,108508,42697,22981,71471,33861,18827,149500,811,22164,85,5498,304,56822,155,30388,79,31229,5,6,751,11489,176,47,21,908,132,6,27,4533,3625960,80680,579300,93500,338100,352600,119.90,1238207,290113,420164,927,17.6,11833,5668,179,76,879,576,2673,1005,2421,382,30017,270902,74023,24850,20179
R04000,宮城県,2301996,2242701,268428,1346845,638984,19453,14480,1.23,24632,44078,44242,980549,2251390,362255,8921,3553,728229,318591,171201,9463930,6838814,2944,97974,10640,5350,1036,27102,11621,8736,7573,1006886,99631,120120,19772,225169,89667,41584,119085,28632,12877,125800,757,34768,232,25704,381,114086,207,58381,95,57157,5,14,2613,49410,439,35,18,900,271,9,40,13445,5678790,121820,1089300,130500,554300,527500,97.24,2292498,222966,819659,977,14.8,18296,9560,325,112,1671,1061,5792,1893,5455,481,38790,264817,76291,24121,22245
R05000,秋田県,959502,950192,92673,500687,357568,3651,4499,1.33,15379,10519,13519,383531,923812,117169,2686,1213,1163752,323334,123801,3563010,2687621,2699,48769,5385,3481,302,13034,5841,5876,3646,413719,40329,67198,3737,86407,33576,18790,66049,27780,9336,146700,545,15729,36,2258,191,40192,112,22182,54,22266,4,7,563,8884,342,48,11,864,137,4,23,2823,2003950,20010,445700,60800,296500,306200,131.93,987199,187964,359010,994,15.2,10224,4704,144,52,802,436,2413,639,2056,277,24532,264922,72763,14661,22769
R06000,山形県,1068027,1056617,120086,578819,359554,7149,6217,1.40,15348,11944,15171,396792,1035323,112791,3530,1362,932315,287329,155510,4266962,3220641,2923,55778,6235,5154,342,14496,6793,6061,3947,475435,42190,106493,4029,93586,39847,20800,62958,26796,12832,116900,807,20253,69,5840,244,50885,97,27473,61,28281,3,6,1143,11723,430,40,17,645,145,11,23,4584,2741910,65990,449000,54200,294600,305200,135.18,1081076,69909,364842,922,14.4,11286,5493,105,54,919,483,2614,683,2109,288,25425,293536,77254,16066,22462
R07000,福島県,1833152,1797450,206152,1020241,572825,12868,11215,1.47,24515,23250,29528,740089,1788951,245335,6674,2969,1378414,423073,179099,8063692,5592576,2971,85960,10250,7127,542,22064,10566,8246,6133,806130,79858,163815,6973,154720,69191,34334,99733,41060,21613,138400,1521,42549,233,17964,428,86804,227,47108,110,47571,5,8,1588,14288,374,68,17,1379,304,6,35,8278,6191770,51180,861300,123500,494900,512800,112.65,1901853,154523,720595,1035,12.7,16934,8013,227,103,1346,853,3993,1388,3673,375,32198,268003,72590,17053,21190
R08000,茨城県,2867009,2763432,333741,1638165,839907,57819,17389,1.39,32931,45720,47468,1181598,2802960,385760,10622,4403,609739,388884,90896,13808427,9562343,3306,115007,15007,10759,721,29144,13047,11395,7648,1233534,87548,280530,13823,233297,95666,57521,145001,43920,27841,163600,941,28652,239,21382,476,139002,228,72868,121,74121,3,10,760,30258,252,64,26,1229,912,11,37,21805,3507280,36400,1328900,197200,801700,814800,107.79,2915959,216357,1051103,985,20.8,22398,11116,418,153,1749,1403,5682,1954,6604,606,57940,274520,71373,15978,23652
R09000,栃木県,1933146,1869256,227553,1115611,554381,37408,11808,1.39,21702,30080,31838,795449,1891685,261757,7396,3037,640809,300506,133443,9151331,6679172,3413,86088,9600,8894,485,21883,10708,8132,6072,878756,58574,208355,7367,164790,76323,42308,99282,31993,14209,122000,1413,35790,82,11134,350,96704,163,51558,75,50745,6,9,1700,20388,188,55,26,951,638,8,31,12924,5467450,43960,926700,160700,526100,545000,106.54,1968097,104057,660826,917,16.1,16541,8797,273,88,1460,984,4592,1354,4160,434,38509,279214,75567,15581,24730
R10000,群馬県,1939110,1860213,224304,1096231,576729,53432,11660,1.40,23286,26611,28889,803215,1884909,260100,7044,2857,636228,226902,88868,8970434,6515719,3325,90231,10205,10812,547,21846,10444,8147,6718,900921,58817,227992,8636,167404,73256,37599,113141,19405,22870,66800,1175,30070,128,9565,309,96764,168,51167,79,49994,8,14,1659,28312,222,57,20,1225,289,7,42,13062,4696760,65150,949000,158300,561700,581400,107.14,1971651,92494,713518,989,14.7,16458,8585,264,117,1551,984,4654,1414,3963,450,44654,289142,77211,11422,26870
R11000,埼玉県,7344765,7055679,858384,4335188,1934994,161439,47328,1.27,70758,163059,145147,3157627,7204956,1072139,29260,10659,379775,260309,124582,23431055,22415717,3067,240542,25762,26691,1684,56851,27883,22637,20058,2575544,164889,464446,21080,543203,232300,117077,335992,27588,18875,74100,689,24567,518,85521,814,366426,448,186455,193,167972,12,28,3993,111852,489,172,25,1648,1093,27,75,73974,3106770,34060,3384700,346200,1987700,1656900,87.15,7387913,77582,2328598,861,23.7,42050,24368,962,295,4378,3558,12928,5358,15793,1363,112411,326313,84240,16200,31583
R12000,千葉県,6284480,6040814,734496,3715691,1699991,142177,40168,1.28,62118,143177,126407,2767661,6166145,1003440,24996,9187,515757,353386,28537,21106928,19939763,3193,188740,19912,11082,1457,47017,25104,19310,16820,2114259,144082,240508,28794,443104,218655,131916,292342,34261,16565,123500,1289,60163,474,70331,777,309553,395,156873,182,145920,8,27,3145,104866,288,144,43,1544,989,24,54,74250,12237050,1067290,3029800,382500,1724100,1400400,89.74,6317531,138063,2092336,905,21.3,35971,21274,849,255,3818,3273,12586,5153,14282,1167,97620,303193,82761,23198,26219
R13000,東京都,14047594,13233213,1566840,8944193,3107822,483372,99661,1.15,121219,401168,362794,7216650,13839178,3625810,73931,20783,219403,142278,79889,106238222,74473226,5427,621671,40014,43569,21935,150728,89160,46450,48461,9005511,456848,589948,849374,1983374,865996,332189,802679,4606,4961,6530,3308,188775,984,144095,1328,619291,803,304405,428,306302,37,143,10450,673683,79,398,103,2152,963,79,119,240890,28915890,4167870,7671600,809900,3063000,1820900,65.90,13826079,17817,4407607,871,22.3,95501,79067,2088,589,13707,10670,45392,16597,50562,3114,279024,325010,92079,30206,31559
