SSDSE-E-2024,Prefecture,A1101,A1102,A1301,A1302,A1303,A1700,A4101,A4103,A4200,A5101,A5102,A710101,A710201,A810105,A9101,A9201,B1101,B1103,B2101,C1121,C1221,C122101,C2108,C210836,C210837,C210839,C210841,C210847,C210848,C210850,C2208,C220836,C220837,C220839,C220841,C220847,C220848,C220850,C310201,C310202,C3107,C3801,C3802,E1101,E1501,E2101,E2501,E3101,E3501,E4101,E4501,E6101,E6102,E6301,E6302,G1201,G1401,G1501,G1604,G3102,G3201,G5101v2,G5105,G7101,G7102,H1100,H110202,H1310,H1401,H2130,H5507,H550701,H5609,H5610,H5614,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J2503,J2506,L3221,L322101,L322102,L322109
,年度,2022,2022,2022,2022,2022,2020,2021,2021,2021,2022,2022,2020,2020,2020,2021,2021,2022,2022,2021,2019,2019,2019,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2019,2019,2022,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2018,2018,2018,2018,2018,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2020,2020,2020,2021,2021,2022,2022,2022,2022
地域コード,都道府県,総人口,日本人人口,15歳未満人口,15～64歳人口,65歳以上人口,外国人人口,出生数,合計特殊出生率,死亡数,転入者数（日本人移動者）,転出者数（日本人移動者）,一般世帯数,一般世帯人員数,単独世帯数,婚姻件数,離婚件数,総面積（北方地域及び竹島を除く）,可住地面積,自然公園面積,県内総生産額（平成27年基準）,県民所得（平成27年基準）,1人当たり県民所得（平成27年基準）,事業所数（民営）,事業所数（民営）（建設業）,事業所数（民営）（製造業）,事業所数（民営）（情報通信業）,事業所数（民営）（卸売業、小売業）,事業所数（民営）（宿泊業、飲食サービス業）,事業所数（民営）（生活関連サービス業、娯楽業）,事業所数（民営）（医療、福祉）,従業者数（民営）,従業者数（民営）（建設業）,従業者数（民営）（製造業）,従業者数（民営）（情報通信業）,従業者数（民営）（卸売業、小売業）,従業者数（民営）（宿泊業、飲食サービス業）,従業者数（民営）（生活関連サービス業、娯楽業）,従業者数（民営）（医療、福祉）,農家数（販売農家）,農家数（自給的農家）,耕地面積,旅館営業施設数（ホテルを含む）,旅館営業施設客室数（ホテルを含む）,幼稚園数,幼稚園在園者数,小学校数,小学校児童数,中学校数,中学校生徒数,高等学校数,高等学校生徒数,短期大学数,大学数,短期大学学生数,大学学生数,公民館数,図書館数,博物館数,劇場、音楽堂等数,社会体育施設数,民間体育施設数,映画館数,一般旅券発行件数,延べ宿泊者数,外国人延べ宿泊者数,総住宅数,空き家数,持ち家数,一戸建住宅数,1住宅当たり延べ面積,総人口（非水洗化人口＋水洗化人口）,非水洗化人口,ごみ総排出量（総量）,1人1日当たりの排出量,ごみのリサイクル率,小売店数,飲食店数,大型小売店数,一般病院数,一般診療所数,歯科診療所数,医師数,歯科医師数,薬剤師数,保育所等数,保育所等在所児数,消費支出（二人以上の世帯）,食料費（二人以上の世帯）,住居費（二人以上の世帯）,教養娯楽費（二人以上の世帯）
R00000,全国,124947000,122031000,14503000,74208000,36236000,2402460,811622,1.30,1439856,2255362,2255362,55704949,123162995,21151042,501138,184384,37297000,12295418,5601987,580846867,423267846,3345,5156063,485135,412617,76559,1228920,599058,434209,462531,57949915,3737415,8803643,1986839,11611924,4678739,2176139,8162398,1027892,719187,4325000,50523,1757557,9111,923295,19161,6151305,10012,3205220,4824,2956900,309,807,91799,2632216,13163,3394,1305,1832,45658,29821,575,1218692,377170580,13607790,62407400,8488600,32801500,28758600,93.04,126068422,5158323,40952585,890,19.9,872699,496217,18410,7152,104292,67899,339623,107443,321982,29994,2643196,290865,77474,18645,26642
R01000,北海道,5140000,5098000,530000,2924000,1686000,34321,28762,1.20,69023,49084,53107,2469063,5032739,999825,19326,8662,7842075,2269856,880179,20464601,14892428,2832,216124,21256,10246,2544,51407,27724,18627,19946,2165390,183261,187396,44321,456909,186116,85622,352552,32232,5362,1141000,2951,122008,347,33715,966,227372,573,120587,272,112146,15,37,3531,80309,364,165,66,74,3728,1151,19,27026,24664930,741410,2807200,379800,1359400,1255600,91.23,5185414,278541,1781315,941,23.5,36512,22170,822,471,3400,2818,13731,4418,11802,1075,76885,277737,73037,24873,27234
R02000,青森県,1204000,1198000,123000,663000,419000,5409,6513,1.31,18785,16247,20624,509649,1191534,168917,3736,1783,964595,325350,114187,4533207,3291805,2628,55113,5642,2695,390,14097,6755,5978,5112,498418,50709,60863,6018,106856,36321,21542,77912,28062,8403,149300,605,19645,85,3820,259,53644,156,29042,71,29349,5,10,913,15398,242,35,5,21,697,178,7,3376,3440670,28190,592400,88700,352800,377200,121.58,1246157,153777,455539,1002,14.2,10663,5570,169,76,870,505,2773,735,2345,472,30738,249660,73725,10541,20068
R03000,岩手県,1181000,1173000,125000,648000,408000,6937,6472,1.30,17631,15555,19933,490828,1174106,163290,3673,1459,1527501,375137,72242,4847594,3408836,2781,54598,5292,3483,433,13678,6058,5450,4971,518167,48016,90009,5521,104817,36772,20788,75788,33861,18827,148700,787,21990,70,3902,289,54373,151,29625,79,29237,4,6,726,11100,174,47,21,27,867,167,8,3659,4268160,22640,579300,93500,338100,352600,119.90,1209697,252040,401035,908,17.1,10434,4769,195,77,888,557,2700,1016,2536,393,28580,285815,77251,18814,25733
R04000,宮城県,2280000,2256000,258000,1363000,659000,19453,13761,1.15,25897,44528,43566,980549,2251390,362255,8595,3228,728229,318591,171201,9829354,6802912,2943,95305,10458,5087,1145,25004,10306,8298,8116,1031186,96921,121586,21406,224589,78542,37880,134033,28632,12877,125300,712,34258,212,21180,367,111148,203,58247,95,54112,5,14,2662,49397,434,35,17,42,844,449,11,11763,7625860,59120,1089300,130500,554300,527500,97.24,2269119,193460,808078,976,15.7,16668,8384,375,109,1713,1051,5950,1896,5502,506,40519,287781,78589,22951,26516
R05000,秋田県,930000,926000,86000,484000,359000,3651,4335,1.22,16019,10348,13306,383531,923812,117169,2618,1043,1163752,323329,123801,3624750,2637599,2713,44883,4857,3127,282,11368,4976,5265,3851,398671,37900,64599,3374,82750,28088,16828,68859,27780,9336,146300,515,15227,32,1849,177,37848,110,21405,52,21100,4,7,593,8796,315,49,11,22,857,197,4,2516,2375650,11680,445700,60800,296500,306200,131.93,958311,167201,345947,989,14.6,8797,3908,156,50,822,427,2444,619,2066,272,21915,275545,73628,13191,24327
R06000,山形県,1041000,1033000,113000,566000,362000,7149,5898,1.32,15753,11780,15540,396792,1035323,112791,3386,1240,932315,287329,155510,4336714,3141093,2909,52141,5740,4515,336,12793,6030,5599,4190,465796,40469,103624,3635,90446,34332,18647,67668,26796,12832,115000,774,20002,59,4805,230,48241,94,26362,60,26679,3,6,914,11728,424,40,16,23,648,249,10,3367,3389590,21860,449000,54200,294600,305200,135.18,1055794,60662,348221,904,13.7,9955,4798,148,53,913,473,2608,678,2129,299,23969,276567,77493,16140,22348
R07000,福島県,1790000,1776000,197000,1007000,586000,12868,10649,1.36,25559,22123,28775,740089,1788951,245335,6346,2702,1378414,423073,180002,7987042,5448746,2942,81677,9987,6379,551,19975,9016,7614,6503,802365,79386,164260,6845,154620,60435,29887,108365,41060,21613,136100,1477,42883,218,14936,397,84671,214,45065,102,43903,5,8,1461,14504,361,71,13,35,1268,375,7,6825,6447500,30950,861300,123500,494900,512800,112.65,1844169,139311,692880,1029,13.3,15210,6697,257,101,1372,840,3958,1405,3792,389,31872,295278,79952,20888,25929
